date,ppg,ecg,spo2
2001-01-01T00:00:00.000000,32,0,0
2001-01-01T00:00:00.016667,34,0,0
2001-01-01T00:00:00.033334,32,0,0
2001-01-01T00:00:00.050001,29,0,0
2001-01-01T00:00:00.066668,26,0,0
2001-01-01T00:00:00.083335,24,0,0
2001-01-01T00:00:00.100002,21,0,0
2001-01-01T00:00:00.116669,18,0,0
2001-01-01T00:00:00.133336,16,0,0
2001-01-01T00:00:00.150003,11,0,0
2001-01-01T00:00:00.166670,10,0,0
2001-01-01T00:00:00.183337,12,0,0
2001-01-01T00:00:00.200004,18,0,0
2001-01-01T00:00:00.216671,27,0,0
2001-01-01T00:00:00.233338,39,0,0
2001-01-01T00:00:00.250005,52,0,0
2001-01-01T00:00:00.266672,65,0,0
2001-01-01T00:00:00.283339,75,0,0
2001-01-01T00:00:00.300006,80,0,0
2001-01-01T00:00:00.316673,86,0,0
2001-01-01T00:00:00.333340,83,0,0
2001-01-01T00:00:00.350007,78,0,0
2001-01-01T00:00:00.366674,72,0,0
2001-01-01T00:00:00.383341,65,0,0
2001-01-01T00:00:00.400008,59,0,0
2001-01-01T00:00:00.416675,53,0,0
2001-01-01T00:00:00.433342,47,0,0
2001-01-01T00:00:00.450009,43,0,0
2001-01-01T00:00:00.466676,40,0,0
2001-01-01T00:00:00.483343,37,0,0
2001-01-01T00:00:00.500010,35,0,0
2001-01-01T00:00:00.516677,34,0,0
2001-01-01T00:00:00.533344,34,0,0
2001-01-01T00:00:00.550011,34,0,0
2001-01-01T00:00:00.566678,35,0,0
2001-01-01T00:00:00.583345,35,0,0
2001-01-01T00:00:00.600012,35,0,0
2001-01-01T00:00:00.616679,34,0,0
2001-01-01T00:00:00.633346,32,0,0
2001-01-01T00:00:00.650013,30,0,0
2001-01-01T00:00:00.666680,25,0,0
2001-01-01T00:00:00.683347,23,0,0
2001-01-01T00:00:00.700014,21,0,0
2001-01-01T00:00:00.716681,19,0,0
2001-01-01T00:00:00.733348,17,0,0
2001-01-01T00:00:00.750015,15,0,0
2001-01-01T00:00:00.766682,13,0,0
2001-01-01T00:00:00.783349,11,0,0
2001-01-01T00:00:00.800016,10,0,0
2001-01-01T00:00:00.816683,9,0,0
2001-01-01T00:00:00.833350,12,0,0
2001-01-01T00:00:00.850017,18,0,0
2001-01-01T00:00:00.866684,32,0,0
2001-01-01T00:00:00.883351,43,0,0
2001-01-01T00:00:00.900018,56,0,0
2001-01-01T00:00:00.916685,65,0,0
2001-01-01T00:00:00.933352,73,0,0
2001-01-01T00:00:00.950019,76,0,0
2001-01-01T00:00:00.966686,76,0,0
2001-01-01T00:00:00.983353,72,0,0
2001-01-01T00:00:01.000020,67,0,0
2001-01-01T00:00:01.016687,61,0,0
2001-01-01T00:00:01.033354,55,0,0
2001-01-01T00:00:01.050021,49,0,0
2001-01-01T00:00:01.066688,44,0,0
2001-01-01T00:00:01.083355,45,0,0
2001-01-01T00:00:01.100022,41,0,0
2001-01-01T00:00:01.116689,39,0,0
2001-01-01T00:00:01.133356,37,0,0
2001-01-01T00:00:01.150023,36,0,0
2001-01-01T00:00:01.166690,36,0,0
2001-01-01T00:00:01.183357,37,0,0
2001-01-01T00:00:01.200024,37,0,0
2001-01-01T00:00:01.216691,37,0,0
2001-01-01T00:00:01.233358,37,0,0
2001-01-01T00:00:01.250025,36,0,0
2001-01-01T00:00:01.266692,35,0,0
2001-01-01T00:00:01.283359,33,0,0
2001-01-01T00:00:01.300026,31,0,0
2001-01-01T00:00:01.316693,29,0,0
2001-01-01T00:00:01.333360,27,0,0
2001-01-01T00:00:01.350027,24,0,0
2001-01-01T00:00:01.366694,22,0,0
2001-01-01T00:00:01.383361,20,0,0
2001-01-01T00:00:01.400028,17,0,0
2001-01-01T00:00:01.416695,15,0,0
2001-01-01T00:00:01.433362,13,0,0
2001-01-01T00:00:01.450029,14,0,0
2001-01-01T00:00:01.466696,17,0,0
2001-01-01T00:00:01.483363,24,0,0
2001-01-01T00:00:01.500030,33,0,0
2001-01-01T00:00:01.516697,44,0,0
2001-01-01T00:00:01.533364,53,0,0
2001-01-01T00:00:01.550031,64,0,0
2001-01-01T00:00:01.566698,71,0,0
2001-01-01T00:00:01.583365,74,0,0
2001-01-01T00:00:01.600032,72,0,0
2001-01-01T00:00:01.616699,69,0,0
2001-01-01T00:00:01.633366,68,0,0
2001-01-01T00:00:01.650033,62,0,0
2001-01-01T00:00:01.666700,55,0,0
2001-01-01T00:00:01.683367,50,0,0
2001-01-01T00:00:01.700034,46,0,0
2001-01-01T00:00:01.716701,42,0,0
2001-01-01T00:00:01.733368,39,0,0
2001-01-01T00:00:01.750035,37,0,0
2001-01-01T00:00:01.766702,35,0,0
2001-01-01T00:00:01.783369,35,0,0
2001-01-01T00:00:01.800036,35,0,0
2001-01-01T00:00:01.816703,36,0,0
2001-01-01T00:00:01.833370,37,0,0
2001-01-01T00:00:01.850037,37,0,0
2001-01-01T00:00:01.866704,37,0,0
2001-01-01T00:00:01.883371,36,0,0
2001-01-01T00:00:01.900038,34,0,0
2001-01-01T00:00:01.916705,33,0,0
2001-01-01T00:00:01.933372,35,0,0
2001-01-01T00:00:01.950039,33,0,0
2001-01-01T00:00:01.966706,31,0,0
2001-01-01T00:00:01.983373,28,0,0
2001-01-01T00:00:02.000040,26,0,0
2001-01-01T00:00:02.016707,24,0,0
2001-01-01T00:00:02.033374,21,0,0
2001-01-01T00:00:02.050041,18,0,0
2001-01-01T00:00:02.066708,17,0,0
2001-01-01T00:00:02.083375,16,0,0
2001-01-01T00:00:02.100042,19,0,0
2001-01-01T00:00:02.116709,25,0,0
2001-01-01T00:00:02.133376,35,0,0
2001-01-01T00:00:02.150043,44,0,0
2001-01-01T00:00:02.166710,55,0,0
2001-01-01T00:00:02.183377,63,0,0
2001-01-01T00:00:02.200044,71,0,0
2001-01-01T00:00:02.216711,75,0,0
2001-01-01T00:00:02.233378,74,0,0
2001-01-01T00:00:02.250045,72,0,0
2001-01-01T00:00:02.266712,68,0,0
2001-01-01T00:00:02.283379,64,0,0
2001-01-01T00:00:02.300046,59,0,0
2001-01-01T00:00:02.316713,55,0,0
2001-01-01T00:00:02.333380,52,0,0
2001-01-01T00:00:02.350047,48,0,0
2001-01-01T00:00:02.366714,45,0,0
2001-01-01T00:00:02.383381,46,0,0
2001-01-01T00:00:02.400048,43,0,0
2001-01-01T00:00:02.416715,42,0,0
2001-01-01T00:00:02.433382,40,0,0
2001-01-01T00:00:02.450049,40,0,0
2001-01-01T00:00:02.466716,40,0,0
2001-01-01T00:00:02.483383,40,0,0
2001-01-01T00:00:02.500050,40,0,0
2001-01-01T00:00:02.516717,40,0,0
2001-01-01T00:00:02.533384,39,0,0
2001-01-01T00:00:02.550051,37,0,0
2001-01-01T00:00:02.566718,35,0,0
2001-01-01T00:00:02.583385,33,0,0
2001-01-01T00:00:02.600052,30,0,0
2001-01-01T00:00:02.616719,28,0,0
2001-01-01T00:00:02.633386,26,0,0
2001-01-01T00:00:02.650053,24,0,0
2001-01-01T00:00:02.666720,22,0,0
2001-01-01T00:00:02.683387,20,0,0
2001-01-01T00:00:02.700054,24,0,0
2001-01-01T00:00:02.716721,22,0,0
2001-01-01T00:00:02.733388,22,0,0
2001-01-01T00:00:02.750055,24,0,0
2001-01-01T00:00:02.766722,31,0,0
2001-01-01T00:00:02.783389,40,0,0
2001-01-01T00:00:02.800056,50,0,0
2001-01-01T00:00:02.816723,60,0,0
2001-01-01T00:00:02.833390,70,0,0
2001-01-01T00:00:02.850057,75,0,0
2001-01-01T00:00:02.866724,78,0,0
2001-01-01T00:00:02.883391,77,0,0
2001-01-01T00:00:02.900058,74,0,0
2001-01-01T00:00:02.916725,69,0,0
2001-01-01T00:00:02.933392,65,0,0
2001-01-01T00:00:02.950059,58,0,0
2001-01-01T00:00:02.966726,54,0,0
2001-01-01T00:00:02.983393,50,0,0
2001-01-01T00:00:03.000060,47,0,0
2001-01-01T00:00:03.016727,44,0,0
2001-01-01T00:00:03.033394,42,0,0
2001-01-01T00:00:03.050061,40,0,0
2001-01-01T00:00:03.066728,40,0,0
2001-01-01T00:00:03.083395,40,0,0
2001-01-01T00:00:03.100062,40,0,0
2001-01-01T00:00:03.116729,40,0,0
2001-01-01T00:00:03.133396,40,0,0
2001-01-01T00:00:03.150063,43,0,0
2001-01-01T00:00:03.166730,42,0,0
2001-01-01T00:00:03.183397,39,0,0
2001-01-01T00:00:03.200064,38,0,0
2001-01-01T00:00:03.216731,35,0,0
2001-01-01T00:00:03.233398,33,0,0
2001-01-01T00:00:03.250065,31,0,0
2001-01-01T00:00:03.266732,28,0,0
2001-01-01T00:00:03.283399,27,0,0
2001-01-01T00:00:03.300066,25,0,0
2001-01-01T00:00:03.316733,23,0,0
2001-01-01T00:00:03.333400,22,0,0
2001-01-01T00:00:03.350067,20,0,0
2001-01-01T00:00:03.366734,18,0,0
2001-01-01T00:00:03.383401,17,0,0
2001-01-01T00:00:03.400068,16,0,0
2001-01-01T00:00:03.416735,18,0,0
2001-01-01T00:00:03.433402,22,0,0
2001-01-01T00:00:03.450069,36,0,0
2001-01-01T00:00:03.466736,44,0,0
2001-01-01T00:00:03.483403,55,0,0
2001-01-01T00:00:03.500070,65,0,0
2001-01-01T00:00:03.516737,72,0,0
2001-01-01T00:00:03.533404,76,0,0
2001-01-01T00:00:03.550071,76,0,0
2001-01-01T00:00:03.566738,73,0,0
2001-01-01T00:00:03.583405,69,0,0
2001-01-01T00:00:03.600072,62,0,0
2001-01-01T00:00:03.616739,58,0,0
2001-01-01T00:00:03.633406,54,0,0
2001-01-01T00:00:03.650073,51,0,0
2001-01-01T00:00:03.666740,47,0,0
2001-01-01T00:00:03.683407,44,0,0
2001-01-01T00:00:03.700074,42,0,0
2001-01-01T00:00:03.716741,40,0,0
2001-01-01T00:00:03.733408,40,0,0
2001-01-01T00:00:03.750075,39,0,0
2001-01-01T00:00:03.766742,39,0,0
2001-01-01T00:00:03.783409,40,0,0
2001-01-01T00:00:03.800076,40,0,0
2001-01-01T00:00:03.816743,40,0,0
2001-01-01T00:00:03.833410,39,0,0
2001-01-01T00:00:03.850077,37,0,0
2001-01-01T00:00:03.866744,36,0,0
2001-01-01T00:00:03.883411,34,0,0
2001-01-01T00:00:03.900078,35,0,0
2001-01-01T00:00:03.916745,33,0,0
2001-01-01T00:00:03.933412,31,0,0
2001-01-01T00:00:03.950079,27,0,0
2001-01-01T00:00:03.966746,25,0,0
2001-01-01T00:00:03.983413,23,0,0
2001-01-01T00:00:04.000080,22,0,0
2001-01-01T00:00:04.016747,20,0,0
2001-01-01T00:00:04.033414,19,0,0
2001-01-01T00:00:04.050081,18,0,0
2001-01-01T00:00:04.066748,16,0,0
2001-01-01T00:00:04.083415,15,0,0
2001-01-01T00:00:04.100082,14,0,0
2001-01-01T00:00:04.116749,13,0,0
2001-01-01T00:00:04.133416,14,0,0
2001-01-01T00:00:04.150083,18,0,0
2001-01-01T00:00:04.166750,25,0,0
2001-01-01T00:00:04.183417,34,0,0
2001-01-01T00:00:04.200084,44,0,0
2001-01-01T00:00:04.216751,60,0,0
2001-01-01T00:00:04.233418,68,0,0
2001-01-01T00:00:04.250085,73,0,0
2001-01-01T00:00:04.266752,73,0,0
2001-01-01T00:00:04.283419,71,0,0
2001-01-01T00:00:04.300086,68,0,0
2001-01-01T00:00:04.316753,63,0,0
2001-01-01T00:00:04.333420,58,0,0
2001-01-01T00:00:04.350087,54,0,0
2001-01-01T00:00:04.366754,49,0,0
2001-01-01T00:00:04.383421,46,0,0
2001-01-01T00:00:04.400088,43,0,0
2001-01-01T00:00:04.416755,40,0,0
2001-01-01T00:00:04.433422,39,0,0
2001-01-01T00:00:04.450089,38,0,0
2001-01-01T00:00:04.466756,35,0,0
2001-01-01T00:00:04.483423,35,0,0
2001-01-01T00:00:04.500090,36,0,0
2001-01-01T00:00:04.516757,36,0,0
2001-01-01T00:00:04.533424,36,0,0
2001-01-01T00:00:04.550091,36,0,0
2001-01-01T00:00:04.566758,35,0,0
2001-01-01T00:00:04.583425,33,0,0
2001-01-01T00:00:04.600092,31,0,0
2001-01-01T00:00:04.616759,29,0,0
2001-01-01T00:00:04.633426,27,0,0
2001-01-01T00:00:04.650093,25,0,0
2001-01-01T00:00:04.666760,27,0,0
2001-01-01T00:00:04.683427,25,0,0
2001-01-01T00:00:04.700094,22,0,0
2001-01-01T00:00:04.716761,21,0,0
2001-01-01T00:00:04.733428,20,0,0
2001-01-01T00:00:04.750095,19,0,0
2001-01-01T00:00:04.766762,17,0,0
2001-01-01T00:00:04.783429,16,0,0
2001-01-01T00:00:04.800096,15,0,0
2001-01-01T00:00:04.816763,15,0,0
2001-01-01T00:00:04.833430,14,0,0
2001-01-01T00:00:04.850097,13,0,0
2001-01-01T00:00:04.866764,14,0,0
2001-01-01T00:00:04.883431,17,0,0
2001-01-01T00:00:04.900098,23,0,0
2001-01-01T00:00:04.916765,31,0,0
2001-01-01T00:00:04.933432,41,0,0
2001-01-01T00:00:04.950099,51,0,0
2001-01-01T00:00:04.966766,60,0,0
2001-01-01T00:00:04.983433,65,0,0
2001-01-01T00:00:05.000100,67,0,0
2001-01-01T00:00:05.016767,65,0,0
2001-01-01T00:00:05.033434,61,0,0
2001-01-01T00:00:05.050101,56,0,0
2001-01-01T00:00:05.066768,56,0,0
2001-01-01T00:00:05.083435,51,0,0
2001-01-01T00:00:05.100102,47,0,0
2001-01-01T00:00:05.116769,44,0,0
2001-01-01T00:00:05.133436,41,0,0
2001-01-01T00:00:05.150103,40,0,0
2001-01-01T00:00:05.166770,38,0,0
2001-01-01T00:00:05.183437,37,0,0
2001-01-01T00:00:05.200104,37,0,0
2001-01-01T00:00:05.216771,34,0,0
2001-01-01T00:00:05.233438,35,0,0
2001-01-01T00:00:05.250105,36,0,0
2001-01-01T00:00:05.266772,36,0,0
2001-01-01T00:00:05.283439,36,0,0
2001-01-01T00:00:05.300106,34,0,0
2001-01-01T00:00:05.316773,33,0,0
2001-01-01T00:00:05.333440,31,0,0
2001-01-01T00:00:05.350107,29,0,0
2001-01-01T00:00:05.366774,27,0,0
2001-01-01T00:00:05.383441,25,0,0
2001-01-01T00:00:05.400108,24,0,0
2001-01-01T00:00:05.416775,22,0,0
2001-01-01T00:00:05.433442,21,0,0
2001-01-01T00:00:05.450109,20,0,0
2001-01-01T00:00:05.466776,19,0,0
2001-01-01T00:00:05.483443,17,0,0
2001-01-01T00:00:05.500110,16,0,0
2001-01-01T00:00:05.516777,19,0,0
2001-01-01T00:00:05.533444,18,0,0
2001-01-01T00:00:05.550111,17,0,0
2001-01-01T00:00:05.566778,14,0,0
2001-01-01T00:00:05.583445,15,0,0
2001-01-01T00:00:05.600112,19,0,0
2001-01-01T00:00:05.616779,26,0,0
2001-01-01T00:00:05.633446,34,0,0
2001-01-01T00:00:05.650113,43,0,0
2001-01-01T00:00:05.666780,54,0,0
2001-01-01T00:00:05.683447,62,0,0
2001-01-01T00:00:05.700114,67,0,0
2001-01-01T00:00:05.716781,68,0,0
2001-01-01T00:00:05.733448,67,0,0
2001-01-01T00:00:05.750115,63,0,0
2001-01-01T00:00:05.766782,59,0,0
2001-01-01T00:00:05.783449,54,0,0
2001-01-01T00:00:05.800116,50,0,0
2001-01-01T00:00:05.816783,46,0,0
2001-01-01T00:00:05.833450,48,0,0
2001-01-01T00:00:05.850117,44,0,0
2001-01-01T00:00:05.866784,41,0,0
2001-01-01T00:00:05.883451,39,0,0
2001-01-01T00:00:05.900118,38,0,0
2001-01-01T00:00:05.916785,37,0,0
2001-01-01T00:00:05.933452,38,0,0
2001-01-01T00:00:05.950119,38,0,0
2001-01-01T00:00:05.966786,38,0,0
2001-01-01T00:00:05.983453,38,0,0
2001-01-01T00:00:06.000120,37,0,0
2001-01-01T00:00:06.016787,36,0,0
2001-01-01T00:00:06.033454,35,0,0
2001-01-01T00:00:06.050121,33,0,0
2001-01-01T00:00:06.066788,31,0,0
2001-01-01T00:00:06.083455,25,0,0
2001-01-01T00:00:06.100122,23,0,0
2001-01-01T00:00:06.116789,22,0,0
2001-01-01T00:00:06.133456,20,0,0
2001-01-01T00:00:06.150123,18,0,0
2001-01-01T00:00:06.166790,17,0,0
2001-01-01T00:00:06.183457,16,0,0
2001-01-01T00:00:06.200124,15,0,0
2001-01-01T00:00:06.216791,14,0,0
2001-01-01T00:00:06.233458,13,0,0
2001-01-01T00:00:06.250125,11,0,0
2001-01-01T00:00:06.266792,10,0,0
2001-01-01T00:00:06.283459,10,0,0
2001-01-01T00:00:06.300126,13,0,0
2001-01-01T00:00:06.316793,17,0,0
2001-01-01T00:00:06.333460,26,0,0
2001-01-01T00:00:06.350127,37,0,0
2001-01-01T00:00:06.366794,47,0,0
2001-01-01T00:00:06.383461,61,0,0
2001-01-01T00:00:06.400128,69,0,0
2001-01-01T00:00:06.416795,72,0,0
2001-01-01T00:00:06.433462,72,0,0
2001-01-01T00:00:06.450129,69,0,0
2001-01-01T00:00:06.466796,65,0,0
2001-01-01T00:00:06.483463,61,0,0
2001-01-01T00:00:06.500130,56,0,0
2001-01-01T00:00:06.516797,51,0,0
2001-01-01T00:00:06.533464,47,0,0
2001-01-01T00:00:06.550131,44,0,0
2001-01-01T00:00:06.566798,41,0,0
2001-01-01T00:00:06.583465,44,0,0
2001-01-01T00:00:06.600132,41,0,0
2001-01-01T00:00:06.616799,40,0,0
2001-01-01T00:00:06.633466,40,0,0
2001-01-01T00:00:06.650133,40,0,0
2001-01-01T00:00:06.666800,40,0,0
2001-01-01T00:00:06.683467,40,0,0
2001-01-01T00:00:06.700134,39,0,0
2001-01-01T00:00:06.716801,39,0,0
2001-01-01T00:00:06.733468,38,0,0
2001-01-01T00:00:06.750135,36,0,0
2001-01-01T00:00:06.766802,33,0,0
